time_seconds,active_workers,occupied_cells,entropy_bits,entropy_normalized,max_concentration,congested_cells,workers_in_shared_cells,excess_workers,method,timestamp
685.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:53:25
690.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:53:30
695.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:53:35
700.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:53:40
705.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:53:45
710.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:53:50
715.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:53:55
720.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:54:00
725.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:54:05
730.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:54:10
735.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:54:15
740.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:54:20
745.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:54:25
750.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:54:30
755.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:54:35
760.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:54:40
765.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:54:45
770.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:54:50
775.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:54:55
780.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:55:00
785.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:55:05
790.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:55:10
795.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:55:15
800.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:55:20
805.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:55:25
810.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:55:30
815.0,2,1,0.0,0.0,1.0,1,2,1,random,2023-01-05 07:55:35
820.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:55:40
825.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:55:45
830.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:55:50
835.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:55:55
840.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:56:00
845.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:56:05
850.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:56:10
855.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:56:15
860.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:56:20
865.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:56:25
870.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:56:30
875.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:56:35
880.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:56:40
885.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:56:45
890.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:56:50
895.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:56:55
900.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:57:00
905.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:57:05
910.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:57:10
915.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:57:15
920.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:57:20
925.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:57:25
930.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:57:30
935.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:57:35
940.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:57:40
945.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:57:45
950.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:57:50
955.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:57:55
960.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:58:00
965.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:58:05
970.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:58:10
975.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:58:15
980.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:58:20
985.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:58:25
990.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:58:30
995.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:58:35
1000.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:58:40
1005.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:58:45
1010.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:58:50
1015.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:58:55
1020.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:59:00
1025.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:59:05
1030.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:59:10
1035.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:59:15
1040.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:59:20
1045.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:59:25
1050.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:59:30
1055.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:59:35
1060.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:59:40
1065.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:59:45
1070.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:59:50
1075.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 07:59:55
1080.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:00:00
1085.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:00:05
1090.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:00:10
1095.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:00:15
1100.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:00:20
1105.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:00:25
1110.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:00:30
1115.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:00:35
1120.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:00:40
1125.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:00:45
1130.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:00:50
1135.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:00:55
1140.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:01:00
1145.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:01:05
1150.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:01:10
1155.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:01:15
1160.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:01:20
1165.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:01:25
1170.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:01:30
1175.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:01:35
1180.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:01:40
1185.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:01:45
1190.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:01:50
1195.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:01:55
1200.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:02:00
1205.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:02:05
1210.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:02:10
1215.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:02:15
1220.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:02:20
1225.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:02:25
1230.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:02:30
1235.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:02:35
1240.0,2,2,1.0,1.0,0.5,0,0,0,random,2023-01-05 08:02:40
