method,resource_kind,resource_id,conflicts,affected_workers,total_wait_seconds,mean_wait_seconds,max_wait_seconds
volume_proportional,edge,AISLE:x=3.180000:y=10.210000<->AISLE:x=3.360000:y=10.210000,1,1,0.016666666666424135,0.016666666666424135,0.016666666666424135
volume_proportional,edge,AISLE:x=3.360000:y=10.210000<->AISLE:x=3.520000:y=10.210000,1,1,0.06666666666671972,0.06666666666671972,0.06666666666671972
volume_proportional,edge,AISLE:x=3.520000:y=10.210000<->AISLE:x=3.680000:y=10.210000,1,1,0.016666666657329188,0.016666666657329188,0.016666666657329188
volume_proportional,edge,AISLE:x=3.680000:y=10.210000<->AISLE:x=4.030000:y=10.210000,2,2,0.11666666665951198,0.05833333332975599,0.10000000000218279
volume_proportional,edge,AISLE:x=3.680000:y=12.010000<->AISLE:x=4.030000:y=12.010000,3,3,0.40833333333597466,0.13611111111199156,0.28333333333307564
volume_proportional,edge,AISLE:x=3.680000:y=13.810000<->AISLE:x=4.030000:y=13.810000,1,1,0.0750000000000739,0.0750000000000739,0.0750000000000739
volume_proportional,edge,AISLE:x=3.680000:y=8.410000<->AISLE:x=4.030000:y=8.410000,1,1,0.16666666666662877,0.16666666666662877,0.16666666666662877
volume_proportional,edge,AISLE:x=3.680000:y=9.310000<->AISLE:x=4.030000:y=9.310000,1,1,0.06666666666205856,0.06666666666205856,0.06666666666205856
volume_proportional,edge,AISLE:x=4.340000:y=11.110000<->SUP:CC-13,1,1,0.133333333345945,0.133333333345945,0.133333333345945
volume_proportional,edge,AISLE:x=4.340000:y=7.510000<->SUP:CC-09,1,1,0.125,0.125,0.125
volume_proportional,edge,AISLE:x=4.340000:y=8.410000<->AISLE:x=4.500000:y=8.410000,1,1,0.050000000026557245,0.050000000026557245,0.050000000026557245
volume_proportional,edge,AISLE:x=4.500000:y=7.510000<->AISLE:x=4.660000:y=7.510000,1,1,0.13333333333321207,0.13333333333321207,0.13333333333321207
volume_proportional,edge,AISLE:x=4.500000:y=8.410000<->AISLE:x=4.660000:y=8.410000,1,1,0.0166666666658557,0.0166666666658557,0.0166666666658557
volume_proportional,edge,AISLE:x=4.660000:y=11.110000<->AISLE:x=4.840000:y=11.110000,1,1,0.08333333332120674,0.08333333332120674,0.08333333332120674
volume_proportional,edge,AISLE:x=4.660000:y=12.010000<->AISLE:x=4.840000:y=12.010000,1,1,0.11666666666684478,0.11666666666684478,0.11666666666684478
volume_proportional,edge,AISLE:x=4.840000:y=7.510000<->AISLE:x=5.000000:y=7.510000,1,1,0.13333333333321207,0.13333333333321207,0.13333333333321207
volume_proportional,edge,AISLE:x=5.840000:y=11.110000<->AISLE:x=6.000000:y=11.110000,1,1,0.11666666666133096,0.11666666666133096,0.11666666666133096
volume_proportional,edge,AISLE:x=6.000000:y=11.110000<->AISLE:x=6.160000:y=11.110000,1,1,0.03333333333250721,0.03333333333250721,0.03333333333250721
volume_proportional,edge,AISLE:x=6.340000:y=11.110000<->AISLE:x=6.500000:y=11.110000,1,1,0.13333333333332575,0.13333333333332575,0.13333333333332575
volume_proportional,edge,SUP:CC-01<->SUP:CC-02,30,8,51.75000000000023,1.7250000000000076,5.25
volume_proportional,edge,SUP:CC-02<->SUP:CC-03,8,6,4.749999999988063,0.5937499999985079,1.0
volume_proportional,edge,SUP:CC-03<->SUP:CC-04,4,2,1.800000000009348,0.450000000002337,0.550000000000253
volume_proportional,edge,SUP:CC-04<->SUP:CC-05,13,7,5.54999999996366,0.42692307692028153,0.75
volume_proportional,edge,SUP:CC-05<->SUP:CC-06,13,4,6.383333333329318,0.4910256410253322,0.75
volume_proportional,edge,SUP:CC-06<->SUP:CC-07,8,4,2.5500000000156433,0.3187500000019554,0.5
volume_proportional,edge,SUP:CC-07<->SUP:CC-08,31,8,23.383333333355054,0.7543010752695178,1.75
volume_proportional,edge,SUP:CC-08<->SUP:CC-09,20,7,8.59999999999252,0.42999999999962596,1.2999999999992724
volume_proportional,edge,SUP:CC-09<->SUP:CC-10,11,6,3.2833333333341272,0.2984848484849207,0.7333333333335759
volume_proportional,edge,SUP:CC-10<->SUP:CC-11,16,6,6.316666666692441,0.3947916666682776,0.75
volume_proportional,edge,SUP:CC-11<->SUP:CC-12,6,3,3.0500000000085343,0.5083333333347557,0.733333333332439
volume_proportional,edge,SUP:CC-12<->SUP:CC-13,10,5,3.3583333333514815,0.33583333333514814,0.716666666666697
volume_proportional,edge,SUP:CC-13<->SUP:CC-14,9,6,2.733333333355283,0.3037037037061425,0.6000000000003638
volume_proportional,edge,SUP:CC-14<->SUP:CC-15,10,7,3.733333333350558,0.3733333333350558,0.6666666666664014
volume_proportional,edge,SUP:CC-15<->SUP:CC-16,2,2,0.5333333333339283,0.26666666666696415,0.46666666666664014
volume_proportional,edge,SUP:LC-10<->SUP:LC-11,1,1,0.5833333333333428,0.5833333333333428,0.5833333333333428
volume_proportional,edge,SUP:LC-11<->SUP:LC-12,1,1,0.36666666666668846,0.36666666666668846,0.36666666666668846
volume_proportional,pick_node,AISLE:x=1.020000:y=9.310000,1,1,2.5333333333346673,2.5333333333346673,2.5333333333346673
volume_proportional,pick_node,AISLE:x=1.680000:y=10.210000,8,2,21.300000000008367,2.662500000001046,3.0
volume_proportional,pick_node,AISLE:x=2.360000:y=11.110000,1,1,2.4833333333333556,2.4833333333333556,2.4833333333333556
volume_proportional,pick_node,AISLE:x=2.360000:y=9.310000,1,1,2.116666666661331,2.116666666661331,2.116666666661331
volume_proportional,pick_node,AISLE:x=2.680000:y=10.210000,7,4,19.433333333332484,2.776190476190355,3.0
volume_proportional,pick_node,AISLE:x=2.860000:y=10.210000,5,3,11.800000000001091,2.3600000000002184,3.0
volume_proportional,pick_node,AISLE:x=2.860000:y=8.410000,5,2,14.183333333333053,2.8366666666666105,3.0
volume_proportional,pick_node,AISLE:x=3.020000:y=10.210000,4,2,9.683333333334303,2.420833333333576,3.0
volume_proportional,pick_node,AISLE:x=3.020000:y=8.410000,5,3,13.166666666666941,2.6333333333333884,3.0333333333335304
volume_proportional,pick_node,AISLE:x=3.180000:y=8.410000,3,2,6.399999999999636,2.133333333333212,3.0
volume_proportional,pick_node,AISLE:x=3.680000:y=12.010000,2,2,5.216666666666697,2.6083333333333485,3.0
volume_proportional,pick_node,AISLE:x=3.680000:y=12.910000,3,2,6.983333333333576,2.3277777777778588,3.0
volume_proportional,pick_node,AISLE:x=3.680000:y=8.410000,2,2,1.2833333333305745,0.6416666666652873,1.0666666666670608
volume_proportional,pick_node,AISLE:x=4.340000:y=11.110000,11,2,33.0,3.0,3.0
volume_proportional,pick_node,AISLE:x=4.340000:y=8.410000,2,2,6.75,3.375,4.5
volume_proportional,pick_node,AISLE:x=4.500000:y=11.110000,2,2,6.0,3.0,3.0
volume_proportional,pick_node,AISLE:x=4.660000:y=8.410000,1,1,0.8833333333343489,0.8833333333343489,0.8833333333343489
volume_proportional,pick_node,AISLE:x=4.840000:y=11.110000,1,1,0.8666666666659921,0.8666666666659921,0.8666666666659921
volume_proportional,pick_node,AISLE:x=5.000000:y=7.510000,2,2,5.799999999999272,2.899999999999636,3.0
volume_proportional,pick_node,AISLE:x=5.340000:y=7.510000,2,2,3.5,1.75,3.0
volume_proportional,pick_node,AISLE:x=5.840000:y=11.110000,4,3,9.683333333345217,2.4208333333363043,3.0
volume_proportional,pick_node,AISLE:x=5.840000:y=6.310000,4,2,9.666666666666629,2.416666666666657,3.0
volume_proportional,pick_node,AISLE:x=5.840000:y=8.410000,2,2,4.049999999995634,2.024999999997817,3.0
volume_proportional,pick_node,AISLE:x=6.000000:y=8.410000,2,2,4.866666666664969,2.4333333333324845,3.0
volume_proportional,pick_node,AISLE:x=6.160000:y=11.110000,6,3,13.983333333352448,2.330555555558741,3.0
volume_proportional,pick_node,AISLE:x=6.500000:y=11.110000,13,4,35.4833333333346,2.729487179487277,3.0
volume_proportional,pick_node,AISLE:x=6.660000:y=11.110000,1,1,2.4500000000007276,2.4500000000007276,2.4500000000007276
volume_proportional,pick_node,AISLE:x=6.660000:y=7.510000,1,1,1.6000000000021828,1.6000000000021828,1.6000000000021828
