target,feature,importance,importance_normalized
congestion_delay_ratio,workload_share_Z02,0.005063852877783433,0.0050638528777834325
congestion_delay_ratio,workers_Z03,0.003992600405056211,0.00399260040505621
congestion_delay_ratio,observed_workers,0.0036210568473274665,0.0036210568473274657
congestion_delay_ratio,workers_Z04,0.0033254463992981793,0.0033254463992981784
congestion_delay_ratio,effective_workers,0.002643462415283074,0.0026434624152830736
congestion_delay_ratio,workers_Z02,0.0012475959913406567,0.0012475959913406565
congestion_delay_ratio,active_zones,0.00020352446838814436,0.0002035244683881443
congestion_wait_seconds,picking_lists,0.22941316573207993,0.22941316573207993
congestion_wait_seconds,worker_concentration_pair,0.10053827459370111,0.10053827459370111
congestion_wait_seconds,R_congestion_risk,0.10012509383117331,0.10012509383117331
congestion_wait_seconds,pick_tasks,0.07952999640430353,0.07952999640430353
congestion_wait_seconds,picked_units,0.07813052976126691,0.07813052976126691
congestion_wait_seconds,tasks_per_worker,0.05104177882291796,0.05104177882291796
congestion_wait_seconds,units_per_worker,0.049588538387707444,0.049588538387707444
congestion_wait_seconds,worker_share_Z03,0.040253041864337216,0.040253041864337216
congestion_wait_seconds,worker_share_Z01,0.03703062980418225,0.03703062980418225
congestion_wait_seconds,workers_Z01,0.030135075050438543,0.030135075050438543
congestion_wait_seconds,D_demand_mismatch,0.02339045893669531,0.02339045893669531
congestion_wait_seconds,macro_workload_entropy_normalized,0.02316972394855824,0.02316972394855824
congestion_wait_seconds,worker_share_Z02,0.022036664667815214,0.022036664667815214
congestion_wait_seconds,workload_share_Z03,0.018309360607032272,0.018309360607032272
congestion_wait_seconds,workers_Z02,0.016340577361225395,0.016340577361225395
congestion_wait_seconds,worker_share_Z04,0.0116821152010791,0.0116821152010791
congestion_wait_seconds,moved_workers_from_volume,0.010832847051097253,0.010832847051097253
congestion_wait_seconds,microzone_concentration_Z01,0.010268913437669695,0.010268913437669695
congestion_wait_seconds,workers_Z03,0.00926174974417888,0.00926174974417888
congestion_wait_seconds,weighted_microzone_concentration,0.008394566469193432,0.008394566469193432
congestion_wait_seconds,workers_Z04,0.007467889133980626,0.007467889133980626
congestion_wait_seconds,workload_share_Z02,0.007187941267989803,0.007187941267989803
congestion_wait_seconds,max_workers_zone,0.00718121451479233,0.00718121451479233
congestion_wait_seconds,workload_share_Z04,0.006481761234223676,0.006481761234223676
