cell_id,cell_type,interval_count,unique_workers,worker_seconds,move_worker_seconds,pick_worker_seconds,wait_worker_seconds,occupied_seconds,congested_seconds,max_concurrent_workers,entropy_weight,allocation_id
EDGE:AISLE:x=2.860000:y=10.210000<->AISLE:x=3.020000:y=10.210000,edge,58,7,7.733333333328915,7.733333333328915,0.0,0.0,7.733333333328915,0.0,1,0.0,A001
EDGE:AISLE:x=2.860000:y=11.110000<->AISLE:x=3.020000:y=11.110000,edge,37,8,4.933333333330836,4.933333333330836,0.0,0.0,4.933333333330836,0.0,1,0.0,A001
EDGE:AISLE:x=2.860000:y=12.010000<->AISLE:x=3.020000:y=12.010000,edge,30,7,3.9999999999987708,3.9999999999987708,0.0,0.0,3.9999999999987708,0.0,1,0.0,A001
EDGE:AISLE:x=2.860000:y=12.910000<->AISLE:x=3.020000:y=12.910000,edge,39,8,5.199999999998283,5.199999999998283,0.0,0.0,5.199999999998283,0.0,1,0.0,A001
EDGE:AISLE:x=2.860000:y=13.810000<->AISLE:x=3.020000:y=13.810000,edge,25,7,3.3333333333319217,3.3333333333319217,0.0,0.0,3.3333333333319217,0.0,1,0.0,A001
EDGE:AISLE:x=2.860000:y=6.310000<->AISLE:x=3.020000:y=6.310000,edge,26,7,3.4666666666660646,3.4666666666660646,0.0,0.0,3.4666666666660646,0.0,1,0.0,A001
EDGE:AISLE:x=2.860000:y=7.510000<->AISLE:x=3.020000:y=7.510000,edge,20,8,2.666666666664838,2.666666666664838,0.0,0.0,2.666666666664838,0.0,1,0.0,A001
EDGE:AISLE:x=2.860000:y=8.410000<->AISLE:x=3.020000:y=8.410000,edge,39,8,5.199999999998049,5.199999999998049,0.0,0.0,5.199999999998049,0.0,1,0.0,A001
EDGE:AISLE:x=2.860000:y=9.310000<->AISLE:x=3.020000:y=9.310000,edge,50,7,6.66666666666282,6.66666666666282,0.0,0.0,6.66666666666282,0.0,1,0.0,A001
EDGE:AISLE:x=3.020000:y=10.210000<->AISLE:x=3.180000:y=10.210000,edge,66,7,8.799999999994384,8.799999999994384,0.0,0.0,8.799999999994384,0.0,1,0.0,A001
EDGE:AISLE:x=3.020000:y=11.110000<->AISLE:x=3.180000:y=11.110000,edge,39,8,5.19999999999726,5.19999999999726,0.0,0.0,5.19999999999726,0.0,1,0.0,A001
EDGE:AISLE:x=3.020000:y=12.010000<->AISLE:x=3.180000:y=12.010000,edge,36,7,4.799999999998498,4.799999999998498,0.0,0.0,4.799999999998498,0.0,1,0.0,A001
EDGE:AISLE:x=3.020000:y=12.910000<->AISLE:x=3.180000:y=12.910000,edge,45,8,5.999999999997556,5.999999999997556,0.0,0.0,5.999999999997556,0.0,1,0.0,A001
EDGE:AISLE:x=3.020000:y=13.810000<->AISLE:x=3.180000:y=13.810000,edge,33,8,4.3999999999983,4.3999999999983,0.0,0.0,4.3999999999983,0.0,1,0.0,A001
EDGE:AISLE:x=3.020000:y=6.310000<->AISLE:x=3.180000:y=6.310000,edge,26,7,3.4666666666660646,3.4666666666660646,0.0,0.0,3.4666666666660646,0.0,1,0.0,A001
EDGE:AISLE:x=3.020000:y=7.510000<->AISLE:x=3.180000:y=7.510000,edge,20,8,2.666666666664838,2.666666666664838,0.0,0.0,2.666666666664838,0.0,1,0.0,A001
EDGE:AISLE:x=3.020000:y=8.410000<->AISLE:x=3.180000:y=8.410000,edge,57,8,7.599999999997756,7.599999999997756,0.0,0.0,7.599999999997756,0.0,1,0.0,A001
EDGE:AISLE:x=3.020000:y=9.310000<->AISLE:x=3.180000:y=9.310000,edge,58,7,7.733333333329199,7.733333333329199,0.0,0.0,7.733333333329199,0.0,1,0.0,A001
EDGE:AISLE:x=3.180000:y=10.210000<->AISLE:x=3.360000:y=10.210000,edge,68,7,10.199999999982623,10.199999999982623,0.0,0.0,10.199999999982623,0.0,1,0.0,A001
EDGE:AISLE:x=3.180000:y=11.110000<->AISLE:x=3.360000:y=11.110000,edge,39,8,5.8499999999919226,5.8499999999919226,0.0,0.0,5.8499999999919226,0.0,1,0.0,A001
EDGE:AISLE:x=3.180000:y=12.010000<->AISLE:x=3.360000:y=12.010000,edge,42,7,6.299999999995528,6.299999999995528,0.0,0.0,6.299999999995528,0.0,1,0.0,A001
EDGE:AISLE:x=3.180000:y=12.910000<->AISLE:x=3.360000:y=12.910000,edge,47,8,7.049999999991783,7.049999999991783,0.0,0.0,7.049999999991783,0.0,1,0.0,A001
EDGE:AISLE:x=3.180000:y=13.810000<->AISLE:x=3.360000:y=13.810000,edge,33,8,4.949999999994986,4.949999999994986,0.0,0.0,4.949999999994986,0.0,1,0.0,A001
