selected_date,entropy_weight,allocation_id,zone_id,workload,workload_share,workers,worker_share
2023-01-11,2.0,A002,Z01,0.0,0.0,0,0.0
2023-01-11,2.0,A002,Z02,0.0,0.0,0,0.0
2023-01-11,2.0,A002,Z03,380.0,0.9595959595959596,6,0.75
2023-01-11,2.0,A002,Z04,16.0,0.04040404040404041,2,0.25
2023-01-11,4.0,A003,Z01,0.0,0.0,0,0.0
2023-01-11,4.0,A003,Z02,0.0,0.0,0,0.0
2023-01-11,4.0,A003,Z03,380.0,0.9595959595959596,5,0.625
2023-01-11,4.0,A003,Z04,16.0,0.04040404040404041,3,0.375
2023-01-11,8.0,A003,Z01,0.0,0.0,0,0.0
2023-01-11,8.0,A003,Z02,0.0,0.0,0,0.0
2023-01-11,8.0,A003,Z03,380.0,0.9595959595959596,5,0.625
2023-01-11,8.0,A003,Z04,16.0,0.04040404040404041,3,0.375
2023-01-12,0.0,A001,Z01,0.0,0.0,0,0.0
2023-01-12,0.0,A001,Z02,96.0,0.06134185303514377,1,0.1
2023-01-12,0.0,A001,Z03,981.0,0.6268370607028754,6,0.6
2023-01-12,0.0,A001,Z04,488.0,0.31182108626198085,3,0.3
2023-01-12,0.05,A001,Z01,0.0,0.0,0,0.0
2023-01-12,0.05,A001,Z02,96.0,0.06134185303514377,1,0.1
2023-01-12,0.05,A001,Z03,981.0,0.6268370607028754,6,0.6
2023-01-12,0.05,A001,Z04,488.0,0.31182108626198085,3,0.3
2023-01-12,0.1,A001,Z01,0.0,0.0,0,0.0
2023-01-12,0.1,A001,Z02,96.0,0.06134185303514377,1,0.1
2023-01-12,0.1,A001,Z03,981.0,0.6268370607028754,6,0.6
2023-01-12,0.1,A001,Z04,488.0,0.31182108626198085,3,0.3
2023-01-12,0.25,A001,Z01,0.0,0.0,0,0.0
2023-01-12,0.25,A001,Z02,96.0,0.06134185303514377,1,0.1
2023-01-12,0.25,A001,Z03,981.0,0.6268370607028754,6,0.6
2023-01-12,0.25,A001,Z04,488.0,0.31182108626198085,3,0.3
2023-01-12,0.5,A001,Z01,0.0,0.0,0,0.0
2023-01-12,0.5,A001,Z02,96.0,0.06134185303514377,1,0.1
2023-01-12,0.5,A001,Z03,981.0,0.6268370607028754,6,0.6
2023-01-12,0.5,A001,Z04,488.0,0.31182108626198085,3,0.3
2023-01-12,0.75,A002,Z01,0.0,0.0,0,0.0
2023-01-12,0.75,A002,Z02,96.0,0.06134185303514377,1,0.1
2023-01-12,0.75,A002,Z03,981.0,0.6268370607028754,5,0.5
2023-01-12,0.75,A002,Z04,488.0,0.31182108626198085,4,0.4
2023-01-12,1.0,A003,Z01,0.0,0.0,0,0.0
2023-01-12,1.0,A003,Z02,96.0,0.06134185303514377,2,0.2
2023-01-12,1.0,A003,Z03,981.0,0.6268370607028754,5,0.5
2023-01-12,1.0,A003,Z04,488.0,0.31182108626198085,3,0.3
2023-01-12,2.0,A004,Z01,0.0,0.0,0,0.0
2023-01-12,2.0,A004,Z02,96.0,0.06134185303514377,2,0.2
2023-01-12,2.0,A004,Z03,981.0,0.6268370607028754,4,0.4
2023-01-12,2.0,A004,Z04,488.0,0.31182108626198085,4,0.4
2023-01-12,4.0,A005,Z01,0.0,0.0,0,0.0
2023-01-12,4.0,A005,Z02,96.0,0.06134185303514377,3,0.3
2023-01-12,4.0,A005,Z03,981.0,0.6268370607028754,4,0.4
2023-01-12,4.0,A005,Z04,488.0,0.31182108626198085,3,0.3
2023-01-12,8.0,A005,Z01,0.0,0.0,0,0.0
2023-01-12,8.0,A005,Z02,96.0,0.06134185303514377,3,0.3
2023-01-12,8.0,A005,Z03,981.0,0.6268370607028754,4,0.4
2023-01-12,8.0,A005,Z04,488.0,0.31182108626198085,3,0.3
2023-01-13,0.0,A001,Z01,0.0,0.0,0,0.0
2023-01-13,0.0,A001,Z02,19.0,0.03822937625754527,1,0.125
2023-01-13,0.0,A001,Z03,373.0,0.7505030181086519,5,0.625
2023-01-13,0.0,A001,Z04,105.0,0.2112676056338028,2,0.25
2023-01-13,0.05,A001,Z01,0.0,0.0,0,0.0
2023-01-13,0.05,A001,Z02,19.0,0.03822937625754527,1,0.125
2023-01-13,0.05,A001,Z03,373.0,0.7505030181086519,5,0.625
2023-01-13,0.05,A001,Z04,105.0,0.2112676056338028,2,0.25
