selected_date,method,entropy_weight,worker_counts,entropy_reused_from,observed_workers,effective_workers,seed,total_workers,zones,active_zones,worker_allocation_entropy_normalized,demand_worker_l1_gap,picking_lists,pick_tasks,picked_units,total_distance_m,movement_events,movement_seconds,congestion_conflicts,edge_conflicts,pick_node_conflicts,congestion_wait_seconds,mean_conflict_wait_seconds,p95_conflict_wait_seconds,max_conflict_wait_seconds,congestion_delay_ratio,mean_release_delay_seconds,max_release_delay_seconds,mean_flow_time_seconds,makespan_seconds,entropy_samples,mean_spatial_entropy_normalized,mean_spatial_entropy_multiworker,min_spatial_entropy_normalized,max_spatial_entropy_normalized,mean_max_concentration,shared_worker_ratio,occupied_spatial_cells,congested_cell_seconds,max_cell_occupancy,simulation_elapsed_seconds
2023-09-10,random,,0|3|2|2,,7,7,42.0,7,4,3,0.7783283537314115,0.4374262101534829,39,968,968.0,1047.8200000000022,2042,873.1833333333669,388,29,359,1083.7666666666673,2.7932130584192456,3.0,6.0,0.55380396365091,661.576923076925,1580.050000000015,786.2166666666694,1676.9333333333514,336,0.7351429396499497,0.7373373961862182,0.0,1.0,0.5520337301587301,0.4358974358974359,119,1060.283333333333,4,1676.9333333333514
2023-09-10,equal,,0|3|2|2,,7,7,42.0,7,4,3,0.7783283537314115,0.4374262101534829,39,968,968.0,1047.8200000000022,2042,873.1833333333669,388,29,359,1083.7666666666673,2.7932130584192456,3.0,6.0,0.55380396365091,661.576923076925,1580.050000000015,786.2166666666694,1676.9333333333514,336,0.7351429396499497,0.7373373961862182,0.0,1.0,0.5520337301587301,0.4358974358974359,119,1060.283333333333,4,1676.9333333333514
2023-09-10,volume_proportional,,0|1|4|2,,7,7,42.0,7,4,3,0.6893917467430878,0.15171192443919718,39,968,968.0,1047.8200000000018,2042,873.1833333333271,478,46,432,1870.5333333333344,3.9132496513249677,9.0,9.0,0.6817516385924219,426.3777777777774,986.5999999999985,571.1910256410251,1080.4833333333333,217,0.7004088701806319,0.7102276861177436,0.0,1.0,0.45355497037524684,0.5489849955869374,123,1278.016666666666,6,1080.4833333333333
2023-09-10,entropy_based,0.05,0|1|4|2,volume_proportional,7,7,42.0,7,4,3,0.6893917467430878,0.15171192443919718,39,968,968.0,1047.8200000000018,2042,873.1833333333271,478,46,432,1870.5333333333344,3.9132496513249677,9.0,9.0,0.6817516385924219,426.3777777777774,986.5999999999985,571.1910256410251,1080.4833333333333,217,0.7004088701806319,0.7102276861177436,0.0,1.0,0.45355497037524684,0.5489849955869374,123,1278.016666666666,6,1080.4833333333333
2023-09-12,baseline,,,,7,7,,7,4,3,,,86,2021,2021.0,4569.4,13980,3807.833333333564,161,135,26,109.51666666667855,0.6802277432712953,3.0,3.75,0.02795682455401528,666.0327519380037,2520.683333333386,782.0833333333554,3062.2333333333745,613,0.6380768900849508,0.992743993964657,0.0,1.0,0.5195331313602113,0.015484515484515484,641,50.96666666664905,5,3062.2333333333745
2023-09-12,random,,0|3|2|2,,7,7,42.0,7,4,3,0.7783283537314115,0.15459107938078745,86,2021,2021.0,4569.399999999931,13980,3807.8333333336195,192,154,38,158.5499999999939,0.8257812499999683,3.0,3.75,0.0399734434812527,464.0359496124091,1471.7000000000744,580.6566860465209,1935.2166666667445,388,0.9783650979485121,0.9911374882611559,0.0,1.0,0.24073392243495337,0.019890601690701143,643,91.90833333332594,5,1935.2166666667445
2023-09-12,equal,,0|3|2|2,,7,7,42.0,7,4,3,0.7783283537314115,0.15459107938078745,86,2021,2021.0,4569.399999999931,13980,3807.8333333336195,192,154,38,158.5499999999939,0.8257812499999683,3.0,3.75,0.0399734434812527,464.0359496124091,1471.7000000000744,580.6566860465209,1935.2166666667445,388,0.9783650979485121,0.9911374882611559,0.0,1.0,0.24073392243495337,0.019890601690701143,643,91.90833333332594,5,1935.2166666667445
2023-09-12,volume_proportional,,0|3|3|1,,7,7,42.0,7,4,3,0.7244078178625923,0.06474870997384605,86,2021,2021.0,4569.399999999967,13980,3807.833333333588,249,185,64,254.91666666665137,1.0237617135206882,3.0,4.5,0.06274485672675807,411.53391472868384,1174.5666666667053,529.2751937984541,1719.2000000000553,344,0.9388775313815111,0.9876876782729046,0.0,1.0,0.23417774086378737,0.031003937007874016,647,161.11666666663143,6,1719.2000000000553
2023-09-12,entropy_based,0.05,0|3|3|1,volume_proportional,7,7,42.0,7,4,3,0.7244078178625923,0.06474870997384605,86,2021,2021.0,4569.399999999967,13980,3807.833333333588,249,185,64,254.91666666665137,1.0237617135206882,3.0,4.5,0.06274485672675807,411.53391472868384,1174.5666666667053,529.2751937984541,1719.2000000000553,344,0.9388775313815111,0.9876876782729046,0.0,1.0,0.23417774086378737,0.031003937007874016,647,161.11666666663143,6,1719.2000000000553
2023-09-13,baseline,,,,6,6,,6,4,3,,,52,1196,1196.0,2243.659999999975,6108,1869.7166666667965,32,28,4,21.083333333334167,0.6588541666666927,2.248333333332515,3.0,0.011150483040687916,597.0397435897524,1754.7166666667433,702.4012820512934,2110.9333333334093,423,0.8503517220828033,0.9991632734472938,0.0,1.0,0.4843577620173365,0.003639672429481347,558,8.466666666666583,2,2110.9333333334093
2023-09-13,random,,0|3|1|2,,6,6,42.0,6,4,3,0.7295739585136223,0.25390189520624307,52,1196,1196.0,2243.6599999999826,6108,1869.7166666667074,67,51,16,58.18333333332433,0.8684079601988706,3.0,3.0,0.030179642789212806,524.7551282051382,2046.3666666667345,630.8301282051389,2382.2666666667315,467,0.3565291240972888,0.9910660771037731,0.0,1.0,0.7335831548893648,0.015342960288808664,560,38.61666666666568,3,2382.2666666667315
2023-09-13,equal,,0|2|2|2,,6,6,42.0,6,4,3,0.792481250360578,0.11426978818283166,52,1196,1196.0,2243.660000000017,6108,1869.7166666666938,79,58,21,73.46666666667087,0.9299578059072263,3.0,3.0,0.03780737792797199,376.8298076923056,1006.0666666666723,483.1987179487165,1341.9666666666765,259,0.9498034785846868,0.9919318586832011,0.0,1.0,0.305019305019305,0.01891891891891892,563,46.33333333332885,3,1341.9666666666765
2023-09-13,volume_proportional,,0|2|3|1,,6,6,42.0,6,4,3,0.7295739585136224,0.0794314381270903,52,1196,1196.0,2243.6600000000108,6108,1869.7166666666817,82,47,35,104.30000000000305,1.2719512195122324,3.0,3.0,0.05283643332967575,356.1639423076902,937.5666666666732,463.12580128204957,1302.7500000000202,251,0.9030843576892056,0.9855398859999591,0.0,1.0,0.32855245683930945,0.03494623655913978,563,83.30833333333314,3,1302.7500000000202
2023-09-13,entropy_based,0.05,0|2|3|1,volume_proportional,6,6,42.0,6,4,3,0.7295739585136224,0.0794314381270903,52,1196,1196.0,2243.6600000000108,6108,1869.7166666666817,82,47,35,104.30000000000305,1.2719512195122324,3.0,3.0,0.05283643332967575,356.1639423076902,937.5666666666732,463.12580128204957,1302.7500000000202,251,0.9030843576892056,0.9855398859999591,0.0,1.0,0.32855245683930945,0.03494623655913978,563,83.30833333333314,3,1302.7500000000202
2023-09-17,baseline,,,,5,5,,5,4,2,,,50,1245,1245.0,1628.0799999999997,3240,1356.733333333374,122,45,77,245.64999999999756,2.0135245901639145,3.0,3.0,0.1533028925662763,605.4473333333349,1678.7833333333585,712.1950000000023,1786.9333333333627,358,0.799962203459587,0.9708015892831598,0.0,1.0,0.48598696461824953,0.08971962616822429,193,223.7833333333334,4,1786.9333333333627
2023-09-17,random,,0|0|3|2,,5,5,42.0,5,4,2,0.4854752972273344,0.13815261044176705,50,1245,1245.0,1628.080000000004,3240,1356.7333333333597,326,51,275,980.1999999999925,3.006748466257646,6.0,6.0000000000000036,0.41943858047583066,613.6813333333331,1472.1833333333434,735.1200000000001,1544.4833333333468,309,0.8253848391157266,0.8616348489417551,0.0,1.0,0.4374865156418555,0.2875924404272802,192,800.2999999999992,4,1544.4833333333468
2023-09-17,equal,,0|0|3|2,,5,5,42.0,5,4,2,0.4854752972273344,0.13815261044176705,50,1245,1245.0,1628.080000000004,3240,1356.7333333333597,326,51,275,980.1999999999925,3.006748466257646,6.0,6.0000000000000036,0.41943858047583066,613.6813333333331,1472.1833333333434,735.1200000000001,1544.4833333333468,309,0.8253848391157266,0.8616348489417551,0.0,1.0,0.4374865156418555,0.2875924404272802,192,800.2999999999992,4,1544.4833333333468
2023-09-17,volume_proportional,,0|0|2|3,,5,5,42.0,5,4,2,0.4854752972273344,0.06184738955823291,50,1245,1245.0,1628.0800000000024,3240,1356.7333333333452,285,50,235,893.8999999999974,3.1364912280701662,9.0,9.0,0.3971770908929311,564.8974999999996,1398.6333333333384,684.6101666666665,1502.9666666666774,301,0.7807963711712979,0.8275341821216925,0.0,1.0,0.45359911406423037,0.2633333333333333,194,684.6999999999977,4,1502.9666666666774
2023-09-17,entropy_based,0.05,0|0|2|3,volume_proportional,5,5,42.0,5,4,2,0.4854752972273344,0.06184738955823291,50,1245,1245.0,1628.0800000000024,3240,1356.7333333333452,285,50,235,893.8999999999974,3.1364912280701662,9.0,9.0,0.3971770908929311,564.8974999999996,1398.6333333333384,684.6101666666665,1502.9666666666774,301,0.7807963711712979,0.8275341821216925,0.0,1.0,0.45359911406423037,0.2633333333333333,194,684.6999999999977,4,1502.9666666666774
2023-09-19,baseline,,,,7,7,,7,4,3,,,115,2639,2639.0,5138.659999999992,14824,4282.216666665458,228,157,71,248.6083333333141,1.0903874269005005,3.0,4.5,0.05487043382460842,682.4226811593385,2511.6166666663285,790.664637681067,6985.23333333299,742,0.6760502119436655,0.9835867789454898,0.0,1.0,0.5095334360159158,0.031637965558670406,641,169.55000000006808,6,6985.23333333299
2023-09-19,random,,0|3|2|2,,7,7,42.0,7,4,3,0.7783283537314115,0.18378173550587343,115,2639,2639.0,5138.659999999895,14824,4282.216666665454,331,191,140,464.19166666658066,1.4023917421951078,3.0,6.0,0.09779851080379186,653.2650724636849,1833.1999999997533,763.3816666665726,6321.2499999997435,512,0.9206818454535635,0.9759608796526387,0.0,1.0,0.27666015625,0.0578740157480315,642,357.33333333331115,6,6321.2499999997435
2023-09-19,equal,,0|3|2|2,,7,7,42.0,7,4,3,0.7783283537314115,0.18378173550587343,115,2639,2639.0,5138.659999999895,14824,4282.216666665454,331,191,140,464.19166666658066,1.4023917421951078,3.0,6.0,0.09779851080379186,653.2650724636849,1833.1999999997533,763.3816666665726,6321.2499999997435,512,0.9206818454535635,0.9759608796526387,0.0,1.0,0.27666015625,0.0578740157480315,642,357.33333333331115,6,6321.2499999997435
2023-09-19,volume_proportional,,0|4|2|1,,7,7,42.0,7,4,3,0.6893917467430879,0.040924592648730586,115,2639,2639.0,5138.659999999939,14824,4282.216666665453,356,189,167,533.9249999999968,1.4997893258426875,3.0,6.0,0.11086156449581148,559.4270289854427,1541.6416666664727,670.149999999925,5989.1083333331235,501,0.7994744082742571,0.9745417969474521,0.0,1.0,0.35877768272977856,0.06499608457321848,641,424.22500000003816,6,5989.1083333331235
2023-09-19,entropy_based,0.05,0|4|2|1,volume_proportional,7,7,42.0,7,4,3,0.6893917467430879,0.040924592648730586,115,2639,2639.0,5138.659999999939,14824,4282.216666665453,356,189,167,533.9249999999968,1.4997893258426875,3.0,6.0,0.11086156449581148,559.4270289854427,1541.6416666664727,670.149999999925,5989.1083333331235,501,0.7994744082742571,0.9745417969474521,0.0,1.0,0.35877768272977856,0.06499608457321848,641,424.22500000003816,6,5989.1083333331235
2023-09-21,baseline,,,,6,6,,6,4,3,,,75,1735,1735.0,3186.9599999999855,8622,2655.7999999993226,92,80,12,65.40000000002453,0.710869565217658,3.0,3.0,0.024033514625915117,800.0268888888199,2409.0333333331228,905.7095555554779,6239.76666666644,596,0.7660528870086288,0.9947004807345159,0.0,1.0,0.510989932885906,0.008793969849246231,626,27.97500000003265,2,6239.76666666644
