codCustomer;orderNumber;orderToCollect;Reference;Size (US);quantity (units);creationDate;waveNumber;operator
C0000002            ;124391;52;J3FI7N;95;1;19/10/2023 07:15;43156;Operator_1
C0000002            ;124391;46;AKP0A7;105;1;19/10/2023 07:15;43156;Operator_1
C0000002            ;124391;45;AKP0A7;10;1;19/10/2023 07:15;43156;Operator_1
C0000002            ;124391;44;AKP0A7;95;1;19/10/2023 07:15;43156;Operator_1
C0000002            ;124391;38;8D9SAW;10;1;19/10/2023 07:15;43156;Operator_1
C0000002            ;124391;37;8D9SAW;95;1;19/10/2023 07:15;43156;Operator_1
C0000002            ;124391;30;EUMBM7;105;1;19/10/2023 07:15;43156;Operator_1
C0000002            ;124391;24;I1KDJ0;105;1;19/10/2023 07:15;43156;Operator_1
C0000002            ;124391;23;I1KDJ0;10;1;19/10/2023 07:15;43156;Operator_1
C0000002            ;124391;21;WRRW1W;10;2;19/10/2023 07:15;43156;Operator_1
C0000002            ;124391;20;WRRW1W;95;2;19/10/2023 07:15;43156;Operator_1
C0000002            ;124391;12;TNAHD4;10;1;19/10/2023 07:15;43156;Operator_1
C0000002            ;124391;11;TNAHD4;95;1;19/10/2023 07:15;43156;Operator_1
C0000002            ;124391;4;JEGRCL;10;1;19/10/2023 07:15;43156;Operator_1
C0000002            ;124391;1;J2URNJ;10;1;19/10/2023 07:15;43156;Operator_1
C0000002            ;124391;63;8N10W9;9;1;19/10/2023 07:15;43155;Operator_3
C0000002            ;124391;62;8N10W9;8;1;19/10/2023 07:15;43155;Operator_3
C0000002            ;124391;59;RAUDQ6;95;1;19/10/2023 07:15;43155;Operator_3
C0000002            ;124391;58;RAUDQ6;9;1;19/10/2023 07:15;43155;Operator_3
C0000002            ;124391;51;J3FI7N;9;1;19/10/2023 07:15;43155;Operator_3
C0000002            ;124391;50;J3FI7N;85;1;19/10/2023 07:15;43155;Operator_3
C0000002            ;124391;43;AKP0A7;9;1;19/10/2023 07:15;43155;Operator_3
C0000002            ;124391;42;AKP0A7;85;1;19/10/2023 07:15;43155;Operator_3
C0000002            ;124391;41;AKP0A7;8;1;19/10/2023 07:15;43155;Operator_3
