node_id,x_m,y_m,location_count,pick_tasks,pick_units,task_share,unit_share
AISLE:x=2.860000:y=12.010000,2.86,12.01,4,3,3.0,0.001503006012024048,0.001503006012024048
AISLE:x=2.860000:y=12.910000,2.86,12.91,4,7,7.0,0.0035070140280561123,0.0035070140280561123
AISLE:x=2.860000:y=13.810000,2.86,13.81,4,5,5.0,0.00250501002004008,0.00250501002004008
AISLE:x=2.860000:y=14.710000,2.86,14.71,2,0,0.0,0.0,0.0
AISLE:x=2.860000:y=2.410000,2.86,2.41,4,0,0.0,0.0,0.0
AISLE:x=2.860000:y=3.310000,2.86,3.31,4,0,0.0,0.0,0.0
AISLE:x=2.860000:y=4.210000,2.86,4.21,4,0,0.0,0.0,0.0
AISLE:x=2.860000:y=5.110000,2.86,5.11,4,0,0.0,0.0,0.0
AISLE:x=2.860000:y=6.310000,2.86,6.31,4,14,14.0,0.0070140280561122245,0.0070140280561122245
AISLE:x=2.860000:y=7.510000,2.86,7.51,4,3,3.0,0.001503006012024048,0.001503006012024048
AISLE:x=2.860000:y=8.410000,2.86,8.41,4,18,18.0,0.009018036072144289,0.009018036072144289
AISLE:x=2.860000:y=9.310000,2.86,9.31,4,9,9.0,0.0045090180360721445,0.0045090180360721445
AISLE:x=3.020000:y=-0.290000,3.02,-0.29,4,0,0.0,0.0,0.0
AISLE:x=3.020000:y=0.610000,3.02,0.61,8,0,0.0,0.0,0.0
AISLE:x=3.020000:y=1.510000,3.02,1.51,8,0,0.0,0.0,0.0
AISLE:x=3.020000:y=10.210000,3.02,10.21,8,29,29.0,0.014529058116232466,0.014529058116232466
AISLE:x=3.020000:y=11.110000,3.02,11.11,8,4,4.0,0.002004008016032064,0.002004008016032064
AISLE:x=3.020000:y=12.010000,3.02,12.01,8,19,19.0,0.009519038076152305,0.009519038076152305
AISLE:x=3.020000:y=12.910000,3.02,12.91,8,7,7.0,0.0035070140280561123,0.0035070140280561123
AISLE:x=3.020000:y=13.810000,3.02,13.81,8,5,5.0,0.00250501002004008,0.00250501002004008
