cell_id,cell_type,interval_count,unique_workers,worker_seconds,move_worker_seconds,pick_worker_seconds,wait_worker_seconds,occupied_seconds,congested_seconds,max_concurrent_workers
EDGE:AISLE:x=13.106400:y=23.647400<->AISLE:x=13.563600:y=23.647400,edge,12,5,4.571999999993977,4.571999999993977,0.0,0.0,4.571999999993977,0.0,1
EDGE:AISLE:x=13.106400:y=25.933400<->AISLE:x=13.563600:y=25.933400,edge,15,6,5.714999999995882,5.714999999995882,0.0,0.0,5.714999999995882,0.0,1
EDGE:AISLE:x=13.106400:y=28.219400<->AISLE:x=13.563600:y=28.219400,edge,97,8,36.95699999997123,36.95699999997123,0.0,0.0,36.95699999997123,0.0,1
EDGE:AISLE:x=13.106400:y=30.505400<->AISLE:x=13.563600:y=30.505400,edge,14,3,5.333999999998014,5.333999999998014,0.0,0.0,5.333999999998014,0.0,1
EDGE:AISLE:x=13.106400:y=32.791400<->AISLE:x=13.563600:y=32.791400,edge,21,6,8.000999999995514,8.000999999995514,0.0,0.0,8.000999999995514,0.0,1
EDGE:AISLE:x=13.106400:y=35.077400<->AISLE:x=13.563600:y=35.077400,edge,15,6,5.71499999999736,5.71499999999736,0.0,0.0,5.71499999999736,0.0,1
EDGE:AISLE:x=13.106400:y=37.363400<->AISLE:x=13.563600:y=37.363400,edge,3,2,1.142999999998807,1.142999999998807,0.0,0.0,1.142999999998807,0.0,1
EDGE:AISLE:x=13.563600:y=16.027400<->AISLE:x=13.970000:y=16.027400,edge,10,3,3.3866666666666196,3.3866666666666196,0.0,0.0,3.3866666666666196,0.0,1
EDGE:AISLE:x=13.563600:y=19.075400<->AISLE:x=13.970000:y=19.075400,edge,41,6,13.88533333332964,13.88533333332964,0.0,0.0,13.88533333332964,0.0,1
EDGE:AISLE:x=13.563600:y=21.361400<->AISLE:x=13.970000:y=21.361400,edge,38,7,12.869333333330246,12.869333333330246,0.0,0.0,12.869333333330246,0.0,1
EDGE:AISLE:x=13.563600:y=23.647400<->AISLE:x=13.970000:y=23.647400,edge,10,5,3.386666666665633,3.386666666665633,0.0,0.0,3.386666666665633,0.0,1
EDGE:AISLE:x=13.563600:y=25.933400<->AISLE:x=13.970000:y=25.933400,edge,13,6,4.402666666665709,4.402666666665709,0.0,0.0,4.402666666665709,0.0,1
EDGE:AISLE:x=13.563600:y=28.219400<->AISLE:x=13.970000:y=28.219400,edge,95,8,32.1733333333277,32.1733333333277,0.0,0.0,32.1733333333277,0.0,1
EDGE:AISLE:x=13.563600:y=30.505400<->AISLE:x=13.970000:y=30.505400,edge,14,3,4.741333333332847,4.741333333332847,0.0,0.0,4.741333333332847,0.0,1
EDGE:AISLE:x=13.563600:y=32.791400<->AISLE:x=13.970000:y=32.791400,edge,19,6,6.434666666665663,6.434666666665663,0.0,0.0,6.434666666665663,0.0,1
EDGE:AISLE:x=13.563600:y=35.077400<->AISLE:x=13.970000:y=35.077400,edge,15,6,5.079999999999373,5.079999999999373,0.0,0.0,5.079999999999373,0.0,1
EDGE:AISLE:x=13.563600:y=37.363400<->AISLE:x=13.970000:y=37.363400,edge,3,2,1.0159999999997495,1.0159999999997495,0.0,0.0,1.0159999999997495,0.0,1
EDGE:AISLE:x=13.970000:y=16.027400<->AISLE:x=14.376400:y=16.027400,edge,10,3,3.3866666666666254,3.3866666666666254,0.0,0.0,3.3866666666666254,0.0,1
EDGE:AISLE:x=13.970000:y=19.075400<->AISLE:x=14.376400:y=19.075400,edge,41,6,13.88533333332964,13.88533333332964,0.0,0.0,13.88533333332964,0.0,1
EDGE:AISLE:x=13.970000:y=21.361400<->AISLE:x=14.376400:y=21.361400,edge,38,7,12.869333333330246,12.869333333330246,0.0,0.0,12.869333333330246,0.0,1
EDGE:AISLE:x=13.970000:y=23.647400<->AISLE:x=14.376400:y=23.647400,edge,6,4,2.0319999999994707,2.0319999999994707,0.0,0.0,2.0319999999994707,0.0,1
EDGE:AISLE:x=13.970000:y=25.933400<->AISLE:x=14.376400:y=25.933400,edge,13,6,4.402666666665709,4.402666666665709,0.0,0.0,4.402666666665709,0.0,1
EDGE:AISLE:x=13.970000:y=28.219400<->AISLE:x=14.376400:y=28.219400,edge,87,8,29.463999999994684,29.463999999994684,0.0,0.0,29.463999999994684,0.0,1
EDGE:AISLE:x=13.970000:y=30.505400<->AISLE:x=14.376400:y=30.505400,edge,12,3,4.063999999999538,4.063999999999538,0.0,0.0,4.063999999999538,0.0,1
EDGE:AISLE:x=13.970000:y=32.791400<->AISLE:x=14.376400:y=32.791400,edge,15,6,5.079999999999018,5.079999999999018,0.0,0.0,5.079999999999018,0.0,1
EDGE:AISLE:x=13.970000:y=35.077400<->AISLE:x=14.376400:y=35.077400,edge,15,6,5.079999999999373,5.079999999999373,0.0,0.0,5.079999999999373,0.0,1
EDGE:AISLE:x=13.970000:y=37.363400<->AISLE:x=14.376400:y=37.363400,edge,3,2,1.0159999999997495,1.0159999999997495,0.0,0.0,1.0159999999997495,0.0,1
EDGE:AISLE:x=14.376400:y=16.027400<->AISLE:x=14.833600:y=16.027400,edge,10,3,3.809999999999882,3.809999999999882,0.0,0.0,3.809999999999882,0.0,1
